Empresa,Sector / riesgo,Zona,Ambito,Telefono publico,Portal / como entrar,Version,Estado del contacto
Dreyfus (LDC) - terminal granos,Granos - polvo combustible,Zona 21/22,Bahia Blanca,,Contacto propio de Matias (GIMAP/galgas),DZ2,CONTACTO PROPIO - entrada directa
Profertil,Urea y amoniaco,Zona 1/2,Bahia Blanca,0291 459-8000,Ing. White - Zona Cangrejales Pto Ing White,DZ1,Verificado (linea publica) - probable cliente Emsica
Dow Argentina,Polietileno,Zona 1,Bahia Blanca,0291 459-1400,Av. San Martin 1881 Ing. White,DZ1,Verificado (linea publica) - probable cliente Emsica
Compania Mega,Fraccionamiento de gas,Zona 1,Bahia Blanca,0291 457-2470,Puerto Galvan,DZ1,Verificado (linea publica) - probable cliente Emsica
Unipar Indupa,Cloro y soda caustica,Zona 1/2,Bahia Blanca,,Av. Pte. Frondizi 2450 Pto Galvan / unipar.com/es/contactenos,DZ1,A relevar telefono - probable cliente Emsica
TGS - Complejo Cerri,Acondicionamiento de gas,Zona 1,Bahia Blanca,,tgs.com.ar (seccion contacto),DZ1,A relevar - probable cliente Emsica
Oiltanking Ebytem,Terminal de crudo,Zona 1,Bahia Blanca,,oiltanking.com (seccion contacto),DZ1,A relevar
Cargill - terminal granos,Granos - polvo combustible,Zona 21/22,Bahia Blanca,,cargill.com.ar (contacto),DZ2,A relevar
Bunge - terminal granos,Granos - polvo combustible,Zona 21/22,Bahia Blanca,,bunge.com.ar (contacto),DZ2,A relevar
YPF - Refineria La Plata,Refinacion,Zona 1,Buenos Aires,,Portal SAP Ariba proveedores.ypf.com / proyectosympulso@ypf.com,DZ1,Requiere registro de proveedor
Raizen (ex Shell) - Dock Sud,Refinacion,Zona 1,Buenos Aires,,LinkedIn Raizen Argentina / canal oficial,DZ1,A relevar (comprada por Mercuria 2025)
Axion Energy - Campana,Refinacion,Zona 1,Buenos Aires,,axionenergy.com (contacto/proveedores),DZ1,A relevar
Vista Energy,Upstream Vaca Muerta,Zona 1/2,Pais (Neuquen),0299 430-7100,Portal vistaenergy.com/proveedores,DZ1,Requiere registro de proveedor
Pan American Energy (PAE),Upstream,Zona 1/2,Pais,011 4310-4100 (WhatsApp 011 4310-4319),Portal agp.pan-energy.com / 0800-888-6700,DZ1,Requiere registro de proveedor
Pluspetrol,Upstream Vaca Muerta,Zona 1/2,Pais (Neuquen),0299 449-3300,Portal pluspetrol.net/es/proveedores,DZ1,Requiere registro de proveedor
Tecpetrol (Techint),Upstream,Zona 1/2,Pais,011 4018-5900,Portal tecpetrol.com/es/proveedores,DZ1,Requiere registro de proveedor
YPF - Refineria Lujan de Cuyo,Refinacion,Zona 1,Pais (Mendoza),,Portal SAP Ariba proveedores.ypf.com,DZ1,Requiere registro de proveedor
Mineria litio (Salta/Jujuy),Mineria - gas/polvo,Zona clasificada,Pais,,A relevar por operador (Rio Tinto, Ganfeng, etc.),DZ2,A relevar
TGN / Camuzzi - distribucion gas,Transporte y distribucion de gas,Zona 1/2,Pais,,tgn.com.ar / camuzzigas.com (contacto),DZ1,A relevar
